Ticker,start_date,end_date,rows,first_price,last_price,avg_return,volatility_mean,avg_volume,min_drawdown,avg_rsi,total_return
A,2020-04-14,2026-03-12,1486,75.76458740234375,111.91000366210938,0.00041490168741227,0.017120788044249696,1762262.387617766,-0.4319289407546607,52.30586900940903,0.47707533953583536
AAPL,2020-04-14,2026-03-12,1486,69.35871124267578,255.90499877929688,0.001056329566859464,0.017203581735278674,78242740.99057874,-0.33360506775314624,54.464591844438026,2.6895869919486173
ABBV,2020-04-14,2026-03-12,1486,65.34536743164062,226.2899932861328,0.0008045706585766362,0.013904976835660445,6444118.302826379,-0.2191545874806976,53.90743547798637,2.462984480466198
ABT,2020-04-14,2026-03-12,1486,80.44996643066406,108.5999984741211,0.0002638614323596936,0.013987638296536162,5822125.133243607,-0.3387674184162742,51.35639586290584,0.3499073187024657
AD,2020-04-14,2026-03-12,1486,17.88454818725586,48.0099983215332,0.0008812275055801652,0.027387866784991367,216480.62584118437,-0.6422825570460324,50.53555542013412,1.684440099847984
ADI,2020-04-14,2026-03-12,1486,92.70923614501953,306.42999267578125,0.0009669236388817933,0.019762075654793404,3443246.7355316286,-0.32197456371075617,53.21991268441019,2.3052800930907367
AL,2020-04-14,2026-03-12,1486,21.83463478088379,64.63500213623047,0.0009689087521745021,0.022509552033073317,943386.5363391655,-0.4061161386085672,52.67559780592069,1.9602053244700195
AMAT,2020-04-14,2026-03-12,1486,49.673095703125,336.4399108886719,0.0016682557382819562,0.026813442831148674,7250871.646029609,-0.5513918858057376,53.81596712079887,5.773081204751771
AMD,2020-04-14,2026-03-12,1486,54.93000030517578,198.25,0.0014655824822166473,0.03191697817344215,59834241.7987887,-0.6544994295506881,52.43292781634524,2.609138884008342
AMGN,2020-04-14,2026-03-12,1486,188.58216857910156,369.99249267578125,0.00047322019936631447,0.014799743555266061,2704672.043741588,-0.2485994792508629,51.769439567956894,0.9619696573835208
AMZN,2020-04-14,2026-03-12,1486,114.16600036621094,209.60000610351562,0.0006867909978690239,0.020811212205135113,62043327.16958277,-0.5614526325328263,52.63843337885445,0.8359231770507898
AN,2020-04-14,2026-03-12,1486,32.790000915527344,185.77999877929688,0.0014619358550564793,0.02343907420081438,682089.2886944818,-0.29536561477691825,53.34044508209195,4.66575155816244
ANET,2020-04-14,2026-03-12,1486,12.95687484741211,135.6199951171875,0.0019905140211248797,0.02634178875195232,9262964.01615074,-0.5041596124253692,55.11837349890603,9.46702979802842
APH,2020-04-14,2026-03-12,1486,19.545917510986328,130.9600067138672,0.0014307994550845882,0.016995968866411245,6067968.422611036,-0.287316941687908,56.24839434646828,5.700120710130771
AVGO,2020-04-14,2026-03-12,1486,23.415855407714844,336.6499938964844,0.002054117486586215,0.024067280701676467,24654653.66487214,-0.4114968088262946,55.57170268981203,13.377010279349777
AXP,2020-04-14,2026-03-12,1486,82.19287872314453,302.04998779296875,0.0010193975204200753,0.01918050749415934,3396693.035666218,-0.3154589236836144,53.8901703770169,2.674892429676089
B,2020-04-14,2026-03-12,1486,20.805225372314453,44.55500030517578,0.000659193246841327,0.021846350810287296,18897695.05114401,-0.5394932096435023,51.348577422961895,1.1415293277459608
BA,2020-04-14,2026-03-12,1486,141.0,205.44500732421875,0.0005684942519189275,0.02444515480382617,11648631.785329744,-0.5695976835708434,50.65287628187041,0.4570567895334663
BAC,2020-04-14,2026-03-12,1486,20.49591064453125,46.994998931884766,0.0006317837145734644,0.01782872527173544,46504352.45962315,-0.46642925388317524,52.89853908276683,1.2928963609833088
BRK-B,2020-04-14,2026-03-12,1486,192.94000244140625,492.4800109863281,0.0007108181803829697,0.01086002445496334,4389591.48115747,-0.26578970820011905,54.36142077993677,1.5525033935660328
C,2020-04-14,2026-03-12,1486,36.57034683227539,105.81999969482422,0.0007676435193322145,0.019316600404905047,18697641.0269179,-0.47798898844603055,52.47324415291902,1.89360120592108
CAL,2020-04-14,2026-03-12,1486,5.943434238433838,9.430000305175781,0.0011295135364073716,0.03790286194796227,674991.8405114401,-0.7802584646543158,50.067378326748596,0.586624824448414
CAN,2020-04-14,2026-03-12,1486,4.599999904632568,0.5045999884605408,0.0015077763141332268,0.07173421039071318,11713158.355316285,-0.9882142864768882,47.63157242911029,-0.8903043480604492
CAT,2020-04-14,2026-03-12,1486,103.29804992675781,700.8920288085938,0.0014058876416983292,0.01859253952772947,3052031.1366083445,-0.34047151075072757,54.825957056274575,5.785142888036632
COM,2020-04-14,2026-03-12,1486,16.215002059936523,33.98500061035156,0.00033194423512396953,0.0059429239459840594,56470.03499327053,-0.140235656925478,52.64079101858482,1.0958986304615124
COP,2020-04-14,2026-03-12,1486,27.346803665161133,120.125,0.0011131711248574686,0.021953499860183783,7597885.759757739,-0.4182572023649028,52.1515574923988,3.3926522993630526
COST,2020-04-14,2026-03-12,1486,287.4184265136719,1004.6500244140625,0.0009124313646958317,0.013102767508123496,2216487.49192463,-0.31402444865569656,55.36833451905616,2.4954266384388317
CRM,2020-04-14,2026-03-12,1486,155.81678771972656,198.58999633789062,0.0004539657589749926,0.0219704225169461,7157241.222072679,-0.586172399508393,51.63939508237377,0.2745096291877216
CSCO,2020-04-14,2026-03-12,1486,36.09712219238281,77.88500213623047,0.0005460634314993282,0.014268334673593987,20352667.923283983,-0.3667505982972571,53.03290768025804,1.1576512864691941
CVX,2020-04-14,2026-03-12,1486,64.8655014038086,197.60499572753906,0.0007238155281473614,0.016860744194724626,9656813.341184387,-0.34284971798021147,52.47293971030872,2.046380455727683
D,2020-04-14,2026-03-12,1486,63.17243576049805,63.01499938964844,-5.390569371300708e-05,0.013945027508729217,4441575.3169582775,-0.521999367179443,50.48288282522544,-0.0024921687592748265
DE,2020-04-14,2026-03-12,1486,127.93682098388672,587.280029296875,0.001143582408674582,0.018088696443461585,1586116.199192463,-0.33812149367148536,53.868719071717955,3.590390981895988
DIS,2020-04-14,2026-03-12,1486,103.59049987792969,99.54499816894531,0.0001605284168253816,0.018138126631713086,11534423.841857335,-0.6071516559226153,49.79171757372006,-0.039052825440089256
E,2020-04-14,2026-03-12,1486,13.89523983001709,50.28499984741211,0.0007611123575000381,0.016324577914633955,354562.3445491252,-0.3724439672897648,53.07887006074486,2.6188651986261013
ED,2020-04-14,2026-03-12,1486,71.85594940185547,113.22000122070312,0.0002718762875868251,0.012245724672618533,2125740.799461642,-0.23615566830497392,51.8716699830238,0.5756524291053282
ES,2020-04-14,2026-03-12,1486,73.1585922241211,73.43499755859375,3.683790875540498e-06,0.014899572456851714,2031993.1541049797,-0.41689233756738253,50.39825820387833,0.003778166392621296
G,2020-04-14,2026-03-12,1486,29.038358688354492,38.45500183105469,0.00033640199054263425,0.016665902052002177,1270040.274562584,-0.4130315073471349,51.140569399713975,0.32428289917352093
GE,2020-04-14,2026-03-12,1486,33.57816696166992,305.5400085449219,0.0016954627256687367,0.020496198236900746,9901406.962987887,-0.46545477080595343,55.75413835614146,8.099365337414078
GILD,2020-04-14,2026-03-12,1486,62.23902893066406,146.14999389648438,0.0005683961157832781,0.014891758717403843,7821037.345222073,-0.3046810796766122,51.77066166862953,1.348204919123969
GOOG,2020-04-14,2026-03-12,1486,62.94471740722656,304.5400085449219,0.0012693280792143743,0.01857230956520901,25736111.93876178,-0.4460184805984544,55.15757789110612,3.8382139294497524
GOOGL,2020-04-14,2026-03-12,1486,62.7429313659668,304.8450012207031,0.001275630424237824,0.018699637437882034,32895498.24024226,-0.4432005519892559,55.090782448163004,3.858634982203877
GS,2020-04-14,2026-03-12,1486,154.67698669433594,789.3726196289062,0.001165731875937407,0.01751127233773763,2553811.2483176314,-0.3284012118736822,54.640476650109235,4.103361763756237
HD,2020-04-14,2026-03-12,1486,180.38531494140625,341.0950012207031,0.00047659467312303116,0.014558391575086984,3810249.325706595,-0.3472934919498708,52.63875784084971,0.8909244432203336
HON,2020-04-14,2026-03-12,1486,116.98388671875,234.8300018310547,0.0005046770222515017,0.013921290694373615,3418651.658142665,-0.27130038716455906,51.579426360901024,1.0073704885154622
IBM,2020-04-14,2026-03-12,1486,91.94446563720703,247.1699981689453,0.0006437740496535675,0.015141358981249332,4908683.82166891,-0.2868644784556813,53.351421578466564,1.6882531368905296
INTC,2020-04-14,2026-03-12,1486,53.77119445800781,45.3650016784668,0.00026291601672801175,0.027056632438021734,53263791.61911171,-0.7079732157296665,49.4088860637918,-0.15633263988780766
ISRG,2020-04-14,2026-03-12,1486,169.31333923339844,479.7799987792969,0.0009339774170615657,0.0196928832929299,1802392.358681023,-0.49904222310802426,53.862046084702705,1.8336810374870711
IX,2020-04-14,2026-03-12,1486,10.93476390838623,30.15999984741211,0.0007676298742342426,0.015662237833827527,164976.22274562586,-0.3898830638997206,53.43914228835408,1.7581756771430075
JNJ,2020-04-14,2026-03-12,1486,123.47096252441406,244.1699981689453,0.00043253107585341025,0.010435628633555709,8185074.6938088825,-0.18411662765265424,52.3955632403775,0.9775499694567076
JPM,2020-04-14,2026-03-12,1486,81.93243408203125,282.6400146484375,0.0008547039780494833,0.01598438757571606,12079841.781965006,-0.38771582970348717,54.545829146002475,2.4496718889793585
KLAC,2020-04-14,2026-03-12,1486,151.07275390625,1413.050048828125,0.0018718201792271016,0.026388688528774108,1167124.9427994615,-0.4028339515392295,54.852736956284474,8.35344072502319
KO,2020-04-14,2026-03-12,1486,41.052490234375,77.7750015258789,0.0004001175334860697,0.010515767868356979,15462786.174966352,-0.1727475245882174,52.52706588318814,0.8945257908070723
LLY,2020-04-14,2026-03-12,1486,141.0743865966797,977.1488037109375,0.0015008060316574331,0.019394789188494917,3338509.3963660835,-0.3447500213678921,55.41407868863587,5.926479195011687
LMT,2020-04-14,2026-03-12,1486,323.27740478515625,655.1799926757812,0.0004919037883997431,0.013658065432538308,1409797.5100942126,-0.3178842331759244,52.23456397629656,1.0266804390835818
LRCX,2020-04-14,2026-03-12,1486,25.5064640045166,209.94000244140625,0.0018327903499705258,0.028045308796421923,13498602.169582773,-0.5639315996652146,54.22385944777641,7.230854829749461
MA,2020-04-14,2026-03-12,1486,262.1116638183594,498.9599914550781,0.0005622060633434731,0.015382722967343387,3215685.467025572,-0.2825032061853624,52.628430446198834,0.9036161313326834
MCD,2020-04-14,2026-03-12,1486,160.2492218017578,324.7699890136719,0.00045931354573708317,0.010988887820487786,3090035.3512786003,-0.1722533177111858,52.708399919808215,1.0266556390235735
META,2020-04-14,2026-03-12,1486,176.93405151367188,638.719970703125,0.001237808477920697,0.024479703195582164,21670603.120457605,-0.7673609109259182,53.9791438789753,2.609932430975676
MRK,2020-04-14,2026-03-12,1486,65.90777587890625,116.11000061035156,0.0003841068180004319,0.01394013997814169,10883545.483176311,-0.434434032142026,52.072047728518285,0.7617041246192697
MS,2020-04-14,2026-03-12,1486,33.02365493774414,154.110107421875,0.001094168231500464,0.018178689926077452,8366265.727456259,-0.32377390769518266,54.41055755059453,3.666658118624417
MSFT,2020-04-14,2026-03-12,1486,164.99876403808594,403.56500244140625,0.0007416941357107367,0.01611751876656766,26826592.888290714,-0.37148487961208754,53.859678463178724,1.4458668208463252
MU,2020-04-14,2026-03-12,1486,46.462684631347656,404.94500732421875,0.0019353054423591823,0.029259807289493612,20490668.12449529,-0.5762897614428537,53.6193057626541,7.715488795733698
NEE,2020-04-14,2026-03-12,1486,52.16193389892578,92.02999877929688,0.00044160728657963573,0.016324709137143824,9492832.102960968,-0.4496973286411181,52.135955365957585,0.7643133967698259
NFLX,2020-04-14,2026-03-12,1486,41.35499954223633,94.7249984741211,0.0009657450582340076,0.024210214965359148,58511329.582099594,-0.759473182516135,53.01953699404775,1.2905331767052104
NVDA,2020-04-14,2026-03-12,1486,7.071025848388672,183.47999572753906,0.0027303865317343584,0.030426307316207917,395098184.73822343,-0.6633509570247424,56.10452479279294,24.94814382828908
O,2020-04-14,2026-03-12,1486,40.58489990234375,64.83499908447266,0.0002437970261290299,0.013202558766090307,4598437.277254374,-0.34471354089724926,50.97233265839492,0.5975153133426474
ON,2020-04-14,2026-03-12,1486,14.579999923706055,57.5099983215332,0.0014773525105081851,0.03169285539265963,7373968.039030955,-0.704412972102771,52.36120653035335,2.944444349963678
ORCL,2020-04-14,2026-03-12,1486,49.82225799560547,159.60499572753906,0.0010181597767645483,0.020678664875589302,11691859.938088829,-0.5824985968697592,53.91338726188463,2.203487801408296
PEP,2020-04-14,2026-03-12,1486,115.01344299316406,159.24000549316406,0.00019858832205180572,0.011211608685152438,5641101.080080754,-0.3032267078595855,51.74677465338595,0.3845338540350336
PFE,2020-04-14,2026-03-12,1486,25.859647750854492,26.93000030517578,-1.1981448412292118e-05,0.015604356840697298,35291469.85329744,-0.5896198805849613,49.166692815046,0.04139084045666941
PG,2020-04-14,2026-03-12,1486,104.0435791015625,151.02499389648438,0.00023900217189809974,0.010691926640003785,7365246.052489906,-0.23772472735868677,52.35356626188837,0.4515551579503123
PM,2020-04-14,2026-03-12,1486,57.87834167480469,171.4199981689453,0.000667876295315305,0.013520749214177558,5122271.259084791,-0.2278317001508473,53.719650507813604,1.9617296074598318
R,2020-04-14,2026-03-12,1486,25.25140953063965,187.5800018310547,0.0014785729679829955,0.021582835042164048,450101.32503364736,-0.2996783360904792,54.364091623262695,6.4284962826906025
RA,2020-04-14,2026-03-12,1486,7.99525260925293,12.76990032196045,-7.403962043464536e-05,0.0096643672885943,242830.34589502017,-0.30832544599062284,50.436150836586584,0.5971853481129297
RTX,2020-04-14,2026-03-12,1486,56.48381805419922,203.44500732421875,0.0009489235598059991,0.016164604933681253,6317829.728802154,-0.32836222568338425,54.22446579083696,2.6018281754431416
SCCO,2020-04-14,2026-03-12,1486,23.218305587768555,182.5,0.0015233198107000123,0.02358053003205036,1271241.2207267834,-0.43069866247952404,53.61866696370431,6.860177363508443
SCHW,2020-04-14,2026-03-12,1486,33.32527542114258,91.06999969482422,0.0008708689562732657,0.019804073292963353,9626442.298115747,-0.4970344374475416,53.76790753643856,1.7327606011936099
T,2020-04-14,2026-03-12,1486,15.840797424316406,27.260000228881836,0.00023448596564295808,0.014404324518645468,45094733.19986541,-0.3546813549371549,50.61960922635486,0.7208729774573337
TH,2020-04-14,2026-03-12,1486,1.659999966621399,9.789999961853027,0.0024209074884076406,0.043574925729330305,506744.434051144,-0.7722527548643775,50.98903995710491,4.897590457052016
TJX,2020-04-14,2026-03-12,1486,46.50101089477539,156.56939697265625,0.0009257037568348171,0.015039817509889575,5952220.783983849,-0.27678599774214485,54.22441906804503,2.36701060815535
TMO,2020-04-14,2026-03-12,1486,321.5872802734375,477.6499938964844,0.00042341491107195296,0.016303256309195643,1672940.197846568,-0.4095429952866926,52.04113311774747,0.48528882575937304
TMUS,2020-04-14,2026-03-12,1486,86.16808319091797,213.92999267578125,0.0007337668449517613,0.014650552419848435,4859196.884925975,-0.3198582114727533,53.09468114968343,1.4827057160107429
TSLA,2020-04-14,2026-03-12,1486,47.32600021362305,397.5899963378906,0.002257359322863902,0.03739768967196545,110173534.26648721,-0.736322174421912,52.68789507502535,7.401090194464441
TXN,2020-04-14,2026-03-12,1486,93.56858825683594,190.7899932861328,0.0005719513628822399,0.018523896491868638,5567708.860699865,-0.3341197662238494,51.96320123945517,1.0390389215068025
UBER,2020-04-14,2026-03-12,1486,27.75,73.05000305175781,0.0010686564751318573,0.02818009753143092,23451002.235531628,-0.6761633588850022,51.77815537178171,1.6324325424056871
UNH,2020-04-14,2026-03-12,1486,244.4551544189453,279.4949951171875,0.0002332812438665715,0.017328484703315335,4942512.138627187,-0.613908612173333,51.799904181842784,0.14333852268948766
USA,2020-04-14,2026-03-12,1486,2.9797441959381104,5.675000190734863,0.00015972453350888258,0.013124098266223816,909636.561911171,-0.34045532370803044,51.19713744396191,0.9045259651720565
V,2020-04-14,2026-03-12,1486,167.2686767578125,307.14208984375,0.0005109588616394223,0.014083278267204812,7309973.37281292,-0.2860441367151,52.900662856251216,0.836220001240636
VZ,2020-04-14,2026-03-12,1486,41.442413330078125,50.55500030517578,1.0504114223791866e-05,0.012463521888540418,20578335.955585465,-0.412071165741163,49.64264981339993,0.21988552892705004
WELL,2020-04-14,2026-03-12,1486,44.831695556640625,205.4199981689453,0.001094982804111319,0.017359873711632362,2665729.7153432034,-0.407830423859022,54.408547176287385,3.582026078166428
WFC,2020-04-14,2026-03-12,1486,26.00596046447754,75.05500030517578,0.0008118859004000096,0.020233886844326535,23756309.81090175,-0.37097053040015215,53.46736552699673,1.886069153557934
WMT,2020-04-14,2026-03-12,1486,39.690277099609375,125.11000061035156,0.0008279903035247591,0.012401580782659632,21854535.58613728,-0.257396583510759,55.218144117650006,2.152157398558018
XOM,2020-04-14,2026-03-12,1486,32.359130859375,154.24000549316406,0.0010454416690168097,0.018099051261623093,20744029.3243607,-0.4118961334090714,52.892246825880136,3.7665064356472993
SOFT,2020-04-14,2026-03-11,1485,0.20600000023841858,9.999999747378752e-05,0.020969563106280432,0.14740585481589535,237.56565656565655,-0.9999259259291053,18.32850527133323,-0.9995145631196212
PLTR,2020-10-28,2026-03-12,1348,10.850000381469727,153.69000244140625,0.0029189877578088765,0.041288618031409874,59334446.04154303,-0.8461538461538461,52.974018306726606,13.164976685520411
APP,2021-05-13,2026-03-12,1213,49.869998931884766,452.3429870605469,0.0029611169681576384,0.04532338741554651,3939232.4715581206,-0.919024812239502,53.75537999628449,8.070443087002714
S,2021-07-29,2026-03-12,1160,50.560001373291016,13.925000190734863,-0.0002739893967611444,0.03796341609031565,5399149.063793103,-0.8378768100812796,48.65489723008534,-0.7245846556070126
CA,2024-01-17,2026-03-12,540,23.621807098388672,24.930599212646484,-2.5639319070469772e-05,0.0023160811726036026,3991.4925925925927,-0.052433644488140474,51.41211988378378,0.055406096104607006
GEV,2024-04-25,2026-03-12,471,147.85072326660156,832.469970703125,0.0042565777943036395,0.031902333843894744,3195308.1061571124,-0.38285616286906643,59.535908196441014,4.630476147228792
RIC,2020-04-14,2022-03-02,467,4000.0,17900.0,0.004351540303229267,0.04167799935349752,14395.438972162741,-0.6587215601300108,52.6116033058606,3.4749999999999996
WAY,2024-07-09,2026-03-12,421,20.670000076293945,24.719999313354492,0.0006501202204114162,0.02264747641846267,1828025.0855106888,-0.5206174089835072,53.67332681844664,0.19593610169868447
